id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
1457,-17661442,537904077,195665,2022,11,14,15,2,51
1458,-17661062,537904141,195884,2022,11,14,15,2,52
1459,-17660732,537904196,195865,2022,11,14,15,2,53
1460,-17660454,537904244,195961,2022,11,14,15,2,54
1461,-17660241,537904280,195990,2022,11,14,15,2,55
1462,-17660032,537904314,195809,2022,11,14,15,2,56
1463,-17659900,537904336,196161,2022,11,14,15,2,57
1464,-17659786,537904355,196325,2022,11,14,15,2,58
1465,-17659660,537904377,196282,2022,11,14,15,2,59
1466,-17659529,537904397,196404,2022,11,14,15,3,0
1467,-17659413,537904414,196206,2022,11,14,15,3,1
1468,-17659330,537904424,196123,2022,11,14,15,3,2
1469,-17659250,537904434,196425,2022,11,14,15,3,3
1470,-17659144,537904452,196776,2022,11,14,15,3,4
1471,-17659058,537904465,196944,2022,11,14,15,3,5
1472,-17658970,537904481,196930,2022,11,14,15,3,6
1473,-17658867,537904498,197010,2022,11,14,15,3,7
1474,-17658801,537904507,196796,2022,11,14,15,3,8
1475,-17658760,537904512,196419,2022,11,14,15,3,9
1476,-17658702,537904519,196580,2022,11,14,15,3,10
1477,-17658668,537904523,196471,2022,11,14,15,3,11
1478,-17658652,537904525,196517,2022,11,14,15,3,12
1479,-17658631,537904528,196439,2022,11,14,15,3,13
1480,-17658615,537904530,196124,2022,11,14,15,3,14
1481,-17658594,537904532,196042,2022,11,14,15,3,15
1482,-17658582,537904533,196136,2022,11,14,15,3,16
1483,-17658571,537904535,196280,2022,11,14,15,3,17
1484,-17658577,537904533,195847,2022,11,14,15,3,18
1485,-17658591,537904530,195819,2022,11,14,15,3,19
1486,-17658598,537904526,195778,2022,11,14,15,3,20
1487,-17658600,537904524,195729,2022,11,14,15,3,21
1488,-17658602,537904522,196102,2022,11,14,15,3,22
1489,-17658596,537904523,195819,2022,11,14,15,3,23
1490,-17658592,537904523,196026,2022,11,14,15,3,24
1491,-17658591,537904524,195867,2022,11,14,15,3,25
1492,-17658590,537904528,195665,2022,11,14,15,3,26
1493,-17658581,537904532,195702,2022,11,14,15,3,27
1494,-17658561,537904537,195702,2022,11,14,15,3,28
1495,-17658541,537904541,195511,2022,11,14,15,3,29
1496,-17658520,537904543,195397,2022,11,14,15,3,30
1497,-17658513,537904545,195210,2022,11,14,15,3,31
1498,-17658525,537904540,194943,2022,11,14,15,3,32
1499,-17658557,537904534,194983,2022,11,14,15,3,33
1500,-17658591,537904525,195007,2022,11,14,15,3,34
1501,-17658634,537904516,195055,2022,11,14,15,3,35
1502,-17658682,537904508,195055,2022,11,14,15,3,36
1503,-17658721,537904503,194947,2022,11,14,15,3,37
1504,-17658764,537904495,194902,2022,11,14,15,3,38
1505,-17658808,537904489,194852,2022,11,14,15,3,39
1506,-17658860,537904484,194864,2022,11,14,15,3,40
1507,-17658929,537904477,195476,2022,11,14,15,3,42
1508,-17658959,537904473,195738,2022,11,14,15,3,43
1509,-17658977,537904472,195884,2022,11,14,15,3,44
1510,-17659002,537904471,195745,2022,11,14,15,3,45
1511,-17659030,537904467,195899,2022,11,14,15,3,46
1512,-17659062,537904465,196089,2022,11,14,15,3,47
1513,-17659082,537904465,196078,2022,11,14,15,3,48
1514,-17659106,537904462,196164,2022,11,14,15,3,49
1515,-17659122,537904461,196016,2022,11,14,15,3,50
1516,-17659155,537904462,196121,2022,11,14,15,3,51
1517,-17659184,537904461,196198,2022,11,14,15,3,52
1518,-17659227,537904459,195835,2022,11,14,15,3,53
1519,-17659278,537904454,195789,2022,11,14,15,3,54
1520,-17659322,537904449,195890,2022,11,14,15,3,55
1521,-17659361,537904448,196159,2022,11,14,15,3,56
1522,-17659393,537904445,196166,2022,11,14,15,3,57
1523,-17659411,537904443,196038,2022,11,14,15,3,58
1524,-17659442,537904439,196150,2022,11,14,15,3,59
1525,-17659466,537904437,196255,2022,11,14,15,4,0
1526,-17659477,537904437,196654,2022,11,14,15,4,1
1527,-17659477,537904438,196635,2022,11,14,15,4,2
1528,-17659477,537904440,196543,2022,11,14,15,4,3
1529,-17659472,537904442,196714,2022,11,14,15,4,4
1530,-17659465,537904444,196782,2022,11,14,15,4,5
1531,-17659460,537904445,196407,2022,11,14,15,4,6
1532,-17659446,537904448,196240,2022,11,14,15,4,7
1533,-17659427,537904451,196270,2022,11,14,15,4,8
1534,-17659394,537904457,196299,2022,11,14,15,4,9
1535,-17659347,537904462,196372,2022,11,14,15,4,10
1536,-17659233,537904475,196549,2022,11,14,15,4,12
1537,-17659164,537904483,196102,2022,11,14,15,4,13
1538,-17659018,537904500,196287,2022,11,14,15,4,15
1539,-17658944,537904510,196087,2022,11,14,15,4,16
1540,-17658864,537904519,195974,2022,11,14,15,4,17
1541,-17658784,537904529,195629,2022,11,14,15,4,18
1542,-17658708,537904539,195328,2022,11,14,15,4,19
1543,-17658677,537904542,195074,2022,11,14,15,4,20
1544,-17658649,537904544,195170,2022,11,14,15,4,21
1545,-17658617,537904546,194772,2022,11,14,15,4,22
1546,-17658591,537904549,194775,2022,11,14,15,4,23
1547,-17658513,537904559,194707,2022,11,14,15,4,24
1548,-17658428,537904569,195103,2022,11,14,15,4,25
1549,-17658357,537904576,194956,2022,11,14,15,4,26
1550,-17658279,537904585,194716,2022,11,14,15,4,27
1551,-17658204,537904594,194707,2022,11,14,15,4,28
1552,-17658144,537904601,194729,2022,11,14,15,4,29
1553,-17658087,537904607,194921,2022,11,14,15,4,30
1554,-17658019,537904615,195295,2022,11,14,15,4,31
1555,-17657936,537904626,195290,2022,11,14,15,4,32
1556,-17657876,537904629,195194,2022,11,14,15,4,33
1557,-17657809,537904636,195307,2022,11,14,15,4,34
1558,-17657748,537904643,195113,2022,11,14,15,4,35
1559,-17657701,537904647,195274,2022,11,14,15,4,36
1560,-17657654,537904649,195073,2022,11,14,15,4,37
1561,-17657623,537904651,194854,2022,11,14,15,4,38
1562,-17657603,537904650,194921,2022,11,14,15,4,39
1563,-17657584,537904648,194670,2022,11,14,15,4,40
1564,-17657572,537904645,194698,2022,11,14,15,4,41
1565,-17657585,537904640,194406,2022,11,14,15,4,42
1566,-17657596,537904633,194749,2022,11,14,15,4,43
