id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
2930,-17656642,537903822,209732,2022,11,14,15,36,7
2931,-17656642,537903823,209664,2022,11,14,15,36,9
2932,-17656639,537903826,209579,2022,11,14,15,36,10
2933,-17656641,537903827,209518,2022,11,14,15,36,11
2934,-17656626,537903837,209279,2022,11,14,15,36,13
2935,-17656617,537903843,209139,2022,11,14,15,36,14
2936,-17656627,537903845,209035,2022,11,14,15,36,16
2937,-17656617,537903850,208895,2022,11,14,15,36,17
2938,-17656604,537903858,208678,2022,11,14,15,36,19
2939,-17656604,537903858,208623,2022,11,14,15,36,20
2940,-17656596,537903862,208501,2022,11,14,15,36,21
2941,-17656610,537903858,208559,2022,11,14,15,36,22
2942,-17656610,537903858,208519,2022,11,14,15,36,23
2943,-17656607,537903859,208479,2022,11,14,15,36,24
2944,-17656601,537903861,208415,2022,11,14,15,36,25
2945,-17656605,537903860,208415,2022,11,14,15,36,26
2946,-17656601,537903863,208364,2022,11,14,15,36,27
2947,-17656636,537903849,208522,2022,11,14,15,36,29
2948,-17656671,537903834,208697,2022,11,14,15,36,30
2949,-17656704,537903820,208884,2022,11,14,15,36,31
2950,-17656726,537903812,208989,2022,11,14,15,36,32
2951,-17656742,537903807,209077,2022,11,14,15,36,33
2952,-17656762,537903806,209135,2022,11,14,15,36,35
2953,-17656770,537903807,209132,2022,11,14,15,36,36
2954,-17656768,537903813,209061,2022,11,14,15,36,37
2955,-17656771,537903816,209034,2022,11,14,15,36,38
2956,-17656768,537903822,208946,2022,11,14,15,36,39
2957,-17656762,537903829,208866,2022,11,14,15,36,40
2958,-17656758,537903835,208787,2022,11,14,15,36,41
2959,-17656753,537903841,208708,2022,11,14,15,36,42
2960,-17656746,537903848,208616,2022,11,14,15,36,43
2961,-17656742,537903854,208545,2022,11,14,15,36,44
2962,-17656737,537903860,208475,2022,11,14,15,36,45
2963,-17656734,537903862,208463,2022,11,14,15,36,46
2964,-17656733,537903864,208465,2022,11,14,15,36,47
2965,-17656731,537903866,208445,2022,11,14,15,36,48
2966,-17656724,537903869,208406,2022,11,14,15,36,49
2967,-17656720,537903871,208397,2022,11,14,15,36,50
2968,-17656714,537903874,208382,2022,11,14,15,36,51
2969,-17656709,537903875,208373,2022,11,14,15,36,52
2970,-17656705,537903875,208349,2022,11,14,15,36,53
2971,-17656698,537903876,208328,2022,11,14,15,36,54
2972,-17656692,537903875,208323,2022,11,14,15,36,55
2973,-17656685,537903875,208313,2022,11,14,15,36,56
