id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
6415,-17658841,537902792,222484,2022,11,14,16,37,17
6416,-17658828,537902801,222509,2022,11,14,16,37,18
6417,-17658815,537902809,222535,2022,11,14,16,37,19
6418,-17658801,537902817,222495,2022,11,14,16,37,20
6419,-17658791,537902825,222485,2022,11,14,16,37,21
6420,-17658777,537902834,222491,2022,11,14,16,37,22
6421,-17658764,537902841,222537,2022,11,14,16,37,23
6422,-17658748,537902849,222631,2022,11,14,16,37,24
6423,-17658737,537902856,222504,2022,11,14,16,37,25
6424,-17658727,537902862,222560,2022,11,14,16,37,26
6425,-17658715,537902868,222631,2022,11,14,16,37,27
6426,-17658702,537902875,222627,2022,11,14,16,37,28
6427,-17658691,537902882,222529,2022,11,14,16,37,29
6428,-17658679,537902888,222495,2022,11,14,16,37,30
6429,-17658665,537902897,222390,2022,11,14,16,37,31
6430,-17658653,537902905,222257,2022,11,14,16,37,32
6431,-17658637,537902914,222326,2022,11,14,16,37,33
6432,-17658624,537902922,222271,2022,11,14,16,37,34
6433,-17658612,537902930,222293,2022,11,14,16,37,35
6434,-17658602,537902939,222356,2022,11,14,16,37,36
6435,-17658591,537902948,222389,2022,11,14,16,37,37
6436,-17658579,537902956,222371,2022,11,14,16,37,38
6437,-17658572,537902964,222429,2022,11,14,16,37,39
6438,-17658562,537902971,222429,2022,11,14,16,37,40
6439,-17658553,537902978,222465,2022,11,14,16,37,41
6440,-17658545,537902984,222453,2022,11,14,16,37,42
6441,-17658533,537902991,222482,2022,11,14,16,37,43
6442,-17658525,537902998,222495,2022,11,14,16,37,44
6443,-17658518,537903004,222544,2022,11,14,16,37,45
6444,-17658510,537903010,222591,2022,11,14,16,37,46
6445,-17658503,537903014,222624,2022,11,14,16,37,47
6446,-17658498,537903018,222595,2022,11,14,16,37,48
6447,-17658493,537903023,222637,2022,11,14,16,37,49
6448,-17658487,537903028,222722,2022,11,14,16,37,50
6449,-17658485,537903032,222734,2022,11,14,16,37,51
6450,-17658485,537903034,222723,2022,11,14,16,37,52
6451,-17658483,537903038,222654,2022,11,14,16,37,53
6452,-17658478,537903041,222620,2022,11,14,16,37,54
6453,-17658471,537903044,222685,2022,11,14,16,37,55
6454,-17658471,537903046,222731,2022,11,14,16,37,56
6455,-17658468,537903048,222645,2022,11,14,16,37,57
6456,-17658466,537903048,222700,2022,11,14,16,37,58
6457,-17658461,537903049,222714,2022,11,14,16,37,59
6458,-17658462,537903048,222757,2022,11,14,16,38,0
6459,-17658460,537903048,222744,2022,11,14,16,38,1
6460,-17658462,537903046,222923,2022,11,14,16,38,2
6461,-17658462,537903043,222886,2022,11,14,16,38,3
6462,-17658461,537903041,222801,2022,11,14,16,38,4
