id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
5529,-17658269,537902316,224549,2022,11,14,16,21,20
5530,-17658309,537902314,224800,2022,11,14,16,21,21
5531,-17658352,537902311,225043,2022,11,14,16,21,22
5532,-17658402,537902310,225320,2022,11,14,16,21,23
5533,-17658450,537902307,225643,2022,11,14,16,21,24
5534,-17658489,537902311,225864,2022,11,14,16,21,25
5535,-17658529,537902319,226078,2022,11,14,16,21,26
5536,-17658570,537902328,226291,2022,11,14,16,21,27
5537,-17658605,537902335,226482,2022,11,14,16,21,28
5538,-17658634,537902344,226632,2022,11,14,16,21,29
5539,-17658669,537902350,226843,2022,11,14,16,21,30
5540,-17658704,537902358,227042,2022,11,14,16,21,31
5541,-17658733,537902369,227184,2022,11,14,16,21,32
5542,-17658752,537902377,227337,2022,11,14,16,21,33
5543,-17658763,537902385,227416,2022,11,14,16,21,34
5544,-17658774,537902393,227509,2022,11,14,16,21,35
5545,-17658795,537902402,227680,2022,11,14,16,21,36
5546,-17658804,537902412,227771,2022,11,14,16,21,37
5547,-17658825,537902420,227945,2022,11,14,16,21,38
5548,-17658843,537902425,228109,2022,11,14,16,21,39
5549,-17658865,537902430,228309,2022,11,14,16,21,40
5550,-17658885,537902437,228444,2022,11,14,16,21,41
5551,-17658896,537902446,228550,2022,11,14,16,21,42
5552,-17658897,537902461,228582,2022,11,14,16,21,43
5553,-17658909,537902470,228694,2022,11,14,16,21,44
5554,-17658924,537902479,228816,2022,11,14,16,21,45
5555,-17658968,537902506,229135,2022,11,14,16,21,48
5556,-17658979,537902517,229207,2022,11,14,16,21,49
5557,-17659013,537902529,229447,2022,11,14,16,21,51
5558,-17659035,537902531,229600,2022,11,14,16,21,52
5559,-17659057,537902532,229733,2022,11,14,16,21,53
5560,-17659071,537902537,229817,2022,11,14,16,21,54
5561,-17659073,537902550,229829,2022,11,14,16,21,55
5562,-17659078,537902561,229838,2022,11,14,16,21,56
5563,-17659088,537902567,229885,2022,11,14,16,21,57
5564,-17659103,537902570,229977,2022,11,14,16,21,58
5565,-17659117,537902574,230066,2022,11,14,16,21,59
